,id,lstm_deviation,bayes_deviation,user_sentiment,review_id,review
10,11,0.07651077290380404,0.6596630927075121,0.74,956,"I believe the reason this movie did not get the recognition it deserves is because of the many misconceptions of Darwin, pro and con. I would say the real man is depicted here without sterility. He is what he is. Although the movie is but a snapshot of the man the technique of storytelling expanded his life far beyond the years touched on in the movie. This is deep movie, a pondering of modern life and the way we think, and can provoke a study into the man whose thoughts (and other who used him) have certainly affected our lives. There are some movies that the historical context is so great that it is the primary job of the actors to stay out of the way. The history carried the day and the actors did their job. Good work to them, I say."
11,12,0.14786102003055002,0.0027748823598925387,0.76,387,"I caught this film at an OutFest screening in Los Angeles in July, 2006. It's rough around the edges (sound recording in particular is wobbly) and often very funny. The script is rather jarringly episodic and ends abruptly, but Ash Christian infuses the film with lots of genuine heart. It's also a refreshing change of pace to have a gay film that doesn't star underwear models obsessed with partying and chasing straight guys. Props to a warmly sympathetic Jonathan Caouette as Mr. Cox, a kindred spirit to Rodney (Ash Christian), the lively and spirited Ashley Finke as Rodney's best friend, and Deborah Theaker as Rodney's mom, who is given the best one-liners in the script and steals her every scene. The film is like its writer/director/starlumpy and a bit odd, but also very sweet."
12,13,0.130120450369,0.6555531467259555,0.8,4067,"I'm gettin' sick of movies that sound entertaining in a one-line synopsis then end up being equal to what you'd find in the bottom center of a compost heap.<br /><br />Who knows: ""Witchery"" may have sounded interesting in a pitch to the studios, even with a ""big name cast"" (like Blair and Hasselhoff - wink-wink, nudge-nudge) and the effervescent likes of Hildegard Knef (I dunno, some woman...).<br /><br />But on film, it just falls apart faster than a papier-mache sculpture in a rainstorm. Seems these unfortunate folks are trapped in an island mansion off the Eastern seaboard, and one of them (a woman, I'd guess) is being targeted by a satanic cult to bear the child of hell while the others are offed in grotesque, tortuous ways. <br /><br />Okay, right there you have a cross-section of plots from ""The Exorcist"", ""The Omen"", ""Ten Little Indians"" and a few other lesser movies in the satanic-worshippers-run-amok line. None of it is very entertaining and for the most part, you'll cringe your way from scene to scene until it's over.<br /><br />No, not even Linda Blair and David Hasselhoff help matters much. They're just in it to pick up a paycheck and don't seem very intent on giving it their ""all"". <br /><br />From the looks of it, Hasselhoff probably wishes he were back on the beack with Pam Anderson (and who can blame him?) and Linda... well, who knows; a celebrity PETA benefit or pro-am golf tour or whatever it is she's in to nowadays.<br /><br />And the torture scenes! Ecchhhh. You'll see people get their mouths sewn shut, dangled up inside roaring fireplaces, strung up in trees during a violent storm, vessels bursting out of their necks, etc, etc. Sheesh, and I thought ""Mark of the Devil"" was the most sadistic movie I'd seen....<br /><br />Don't bother. It's not worth your time. I can't believe I told you as much as I did. If you do watch it, just see if you can count the cliches. And yes, Blair gets possessed, as if you didn't see THAT coming down Main Street followed by a marching band.<br /><br />No stars. ""Witchery"" - these witches will give you itches."
13,14,0.19876543199999996,0.10154118597436257,0.45,4500,"David Bryce's comments nearby are exceptionally well written and informative as almost say everything I feel about DARLING LILI. This massive musical is so peculiar and over blown, over produced and must have caused ruptures at Paramount in 1970. It cost 22 million dollars! That is simply irresponsible. DARLING LILI must have been greenlit from a board meeting that said ""hey we got that Pink Panther guy and that Sound Of Music gal... lets get this too"" and handed over a blank cheque. The result is a hybrid of GIGI, ZEPPELIN, HALF A SIXPENCE, some MGM 40s song and dance numbers of a style (daisies and boaters!) so hopelessly old fashioned as to be like musical porridge, and MATA HARI dramatics. The production is colossal, lush, breathtaking to view, but the rest: the ridiculous romance, Julie looking befuddled, Hudson already dead, the mistimed comedy, and the astoundingly boring songs deaden this spectacular film into being irritating. LILI is like a twee 1940s mega musical with some vulgar bits to spice it up. STAR! released the year before sadly crashed and now is being finally appreciated for the excellent film is genuinely is... and Andrews looks sublime, mature, especially in the last half hour......but LILI is POPPINS and DOLLY frilly and I believe really killed off the mega musical binge of the 60s..... and made Andrews look like Poppins again... which I believe was not Edwards intention. Paramount must have collectively fainted when they saw this: and with another $20 million festering in CATCH 22, and $12 million in ON A CLEAR DAY and $25 million in PAINT YOUR WAGON....they had a financial abyss of CLEOPATRA proportions with $77 million tied into 4 films with very uncertain futures. Maybe they should have asked seer Daisy Gamble from ON A CLEAR DAY ......LILI was very popular on immediate first release in Australia and ran in 70mm cinemas for months but it failed once out in the subs and the sticks and only ever surfaced after that on one night stands with ON A CLEAR DAY as a Sunday night double. Thank god Paramount had their simple $1million (yes, ONE MILLION DOLLAR) film LOVE STORY and that $4 million dollar gangster pic THE GODFATHER also ready to recover all the $77 million in just the next two years....for just $5m.... incredible!"
14,15,0.14786102003055002,0.35119536001444884,0.95,65,"I have always loved old movies but this is one of my top ten favorites...it has all the charm, 1940's quaintness, and good old fashioned romance and it's hilarious, to boot! Barbara Stanwick plays an independent single woman who writes cooking\home life articles for a famous magazine...under the premise that she is a married homemaker. Even the president of the magazine is under this delusion. Enter a handsome GI, (played by the talented Dennis Morgan)just rescued off of a raft along with his buddy. His simple wish is to stay at the homey Inn the she writes so eloquently about and relax with her famous home-cooked meals. She now has to frantically find a way to save her job and reputation...add to this that her fiancé is in a hurry to tie the knot doesn't help. The humor is superb and the chemistry between the leading characters a lot of fun. Throw in the character-actor nicknamed ""Cuddles"" (who fits this name completely) it becomes even more adorable. This has become my must-see movie that I snuggle in with a cup of cocoa each Christmas season. A wonderful, enjoyable movie to enjoy at Christmastime or anytime!"
15,16,0.13765602003055,0.12061176286039454,0.82,11,"I hate football!! I hate football fans! I hate cars! but this film was the funniest thing I have seen in quite some time. <br /><br />I was given the great opportunity to see this film at the weekend, and all I have to say is I laughed till I cried, and when is it going to be available in the UK and Denmark. Girls, this is one football film you will need to see, its hilarious!<br /><br />The fact that this film started out as some crazy commercial for a telephone company is just amazing, the guys may not be well known actors, but this is good down to earth real humour, with real people, and I for one applaud them for taking this to the screen.<br /><br />WELL DONE!"
16,17,0.14786102003055002,0.2928274388425076,0.6,67,"For a moment, let's put aside the cultural aspects of this movie, even if it is a very important side of it, and let's look at the simple fact that this is a very nice love story. Two individuals find themselves in a difficult situation, caused by two selfish husbands. They have to live through their sad days without any ray of hope. If each one of these two women had been alone, imagine what kind of life each one would have had to accept. They found each other and they fell in love. That this love was against all the social, religious and cultural laws of their environment is almost irrelevant. They loved each other, found relief in each other, that was sufficient. The reaction of the individuals around them is but a small fact that they have to accept, suffer even, and then they can go on with their lives, their life. Very nice."
17,18,0.14786102003055002,0.4366977683100438,0.84,354,"The only pure life, is one that ends with a signature in blood.<br /><br />So says Mishima anyway, a young sheltered boy who becomes a celebrity author. The life of one of Japans most celebrated literary voices, is told from three perspectives, his life just before he and four members of his private army take over a Japanese military base and commit ritual suicide(shown in color), flashbacks(shown in black and white), and scenes from his novels(shown in a kind of dreamy Technicolor set design somewhere between traditional Noh Theater and ""the Wizard Of Oz"". These stories are often told at the same time, but are edited to reinforce, the slow fusing of Mishima's life with his fictions, until the end(or the beginning) when like the ancient samurai he so admires, he will be at a balance of pen and sword (when his words and actions are the same, and he is a full and ""pure"" being).<br /><br />Paul Schrader wrote the screen play for ""Taxi Driver"", and directed ""Cat People""(a bizarre erotic horror film, which left strange impressions on me as a boy), and in Mishima, he comes closest to making a really excellent film.<br /><br />Whats interesting is to watch the poet, the homosexual, the shy and awkward man with a low body image who overstates his Tuberculosis to get of of WW2 (of which he seems forever ashamed), become a body building, samurai obsessed, a-sexual, media phenomena, all the while still writing prolific amounts of novels, plays, and short stories.<br /><br />A short and sweet version is to say Mishima has no father, and becomes obsessed with masculinity, beauty, sex and self destruction, in some tragic attempt to feel connected to something bigger than himself, that he was always missing. Watching him with his fellow suicidal cadets, you see him happy, delivering his big paternal speech, giving orders, and loving the control...until the speech itself, the point where pen and sword meet? Of course, this ignores the subtlety of the story telling craft here which makes this transformation so natural and remarkable. <br /><br />Though the story, fascinating at times, really isn't this movies greatest success. The cinematography, performances, editing,music(by Philip Glass), and set designs, are really what make this worth seeing, and more than a traditional bio-pic.<br /><br />One day I will pick, up a Mishima book, he does seem to have an ear for prose, and for staging ideas, but for now I'm satisfied with the film.<br /><br />Those interested in Japanese Literature, and post-war culture, should check out. Fans of inventive combinations of facts and fictions, should enjoy as well."
18,19,0.07651077290380404,0.5036808972289083,0.8,786,"Tia Carrere was the reason I decided to watch this film, as neither the title, nor the cover would have been enough to make me spend my time and money on this film  which goes to show, me and everyone, that a DVD shouldn't be judged by it's cover.<br /><br />***SPOILERS*** The film felt like it was trundling along, not really going anywhere for the moment  the awkwardness of Paul Faber (Zak Orth) around girls being almost too embarrassing to watch, and the fringe on the otherwise attractive Kirsten Beck (as Alexondra Lee) being too school-girlish to watch. Where those really fashionable in 1995?<br /><br />The relationship between Vicky Mueller (Tia Carrere) and Todd Boomer (Jason London) was tantalising from the start of though! That first meeting across the lake  magical. What a beautiful coincidence they should meet again just as he has behaved like a complete moron (""Boomer, with two O's as in moron"") in front of Alexondra. A shame really that we as the audience knew who Vicky Mueller really was. (Well the title did give that away, wouldn't you think?)<br /><br />What really surprised me was the acting. Especially in the scene where Vicky gives Todd a metal version of his alter ego (the dog character), in the little white jewellery box. The actors really managed to recreate that tingling sensation of a first kiss  point of no return for Todd and Vicky. A shame really that the film ends with focus on (after getting over Todd's fathers Harvard drive) his re-uniting with his friends. I could envision a whole new film  following Vicky to New York  there must be a good art University there that Todd could attend?!?<br /><br />Nevertheless, a film that does just what we want Hollywood to: entertain us for the duration of the film. Did anyone else notice how none of the loves are happy ones in this film? Todd's mother is slightly insane (on the phone 24/7), his Dad doesn't find her attractive (any more?) Todd's teacher obviously is disenchanted by his wife and vice versa  Todd himself enters into a wonderfully erotic & daring relationship which, however nice it may be, would realistically be very difficult to maintain (age difference, maturity difference etc), and Alexondra & Zak do not get together because Alexondra is not mature enough to handle a relationship (-> her reactions towards the condom, the cheating, Zak's advances etc. are all very immature, and often involve running away), and Zak himself, the poor guy  is too much of a best friend/like a brother-guy to pull even Alexondra.<br /><br />Mind you, good film though! I gave it an 8/10. Brilliant performance by the actors - who bring the script to life."
19,20,0.14786102003055002,0.20915460498001026,0.63,435,"Watching this odd little adventure movie, it's hard to believe that it was directed by the same man who brought us such high quality Giallo classics as The Strange Vice of Mrs Wardh and The Case of the Scorpion's Tail, but it has to be said that despite it's low quality production values, Island of the Fish Men is an entertaining ride and one that surely deserves more praise than it's getting. Like many Italian films from the seventies, this is one is a rip off of a successful American film, the one in question this time being the critically panned Island of Dr Moreau. Sergio Martino's film takes ideas such as mutation, greed and adventure and moulds it into one slightly compelling film, which makes up for what it's lacks in coherency and logic with a load of mostly intriguing ideas. The central plot follows a boat which crashes on a small island. It quickly becomes apparent that not everything about this place is normal, and it soon transpires that half of the population has been turned into ""fish men"" - a cross between a man and a fish, which exist for purely selfish reasons...<br /><br />The truth about this movie is that it's a lot more fun if you ignore the trashy production values. The central monsters look completely ridiculous, and much of the movie takes place on sets that look like they cost someone a few pennies - but the movie is well shot in spite of this, with the underwater photography being a particular highlight and the pacing of the movie is well done in that the film never becomes boring. The way that the plot comes together isn't exactly genius, but it takes in a lot of ideas and I've seen films made on plots with much less thought put into them than this one. The biggest location standout in the film is definitely the lost city of Atlantis. To be honest, I'm not a massive fan of adventure movies, and therefore don't see this lost city get mentioned much - but it is always nice to see it in a movie. The central island location is good in that it provides an apt setting for the story and also provides the movie with the right amount of mystery, as Martino makes good use of the voodoo theme. Overall, this isn't exactly a classic and there are certainly a lot worse trashy adventure movies out there than this one."
20,21,0.13779315095137,0.7296122637065491,0.96,244,"True Love, I truly enjoyed and LOVED this movie. It was fun, funny and inspirational. I just saw it on DVD. How did I miss this one it's a winner! I mean Flex was ""That Guy"". I wanted to marry him. This was my 1st time seeing him as a straight leading man and he pulls it off. I thought Tangi Miller was the best ever and I was a Felicity head too. A fearless woman who only fears her Nana. Thank You for giving women of color range in your work and she looks great! Tasha Smith was a Blast! Aloma Wright was priceless as Nana. This cute romantic comedy is ""A Must See"". Oh and the new comer Marcus Patrick is worth the surprise ladies...True Love. Karen"
21,22,0.13012045078909,0.7818364225403299,0.09,4325,"Having first read the novel, I don't mind,for the purposes of filming, how differently it is scripted, as long as it adheres to, or at least includes, the plot. For reasons known only to Hollywood, important parts of the story are completely ignored, and a different story line added. The reason this novel passed the test of time, is, no doubt, due to the interweaving of both the characters, and plot, as a whole. To interfere with this structure, is to destroy the intricate balance of the story line, and therefore the intension of the story teller. Although a matter of opinion, the casting of this film leaves a lot to be desired. Characters, described as very fat, should, at least, be made to look portly, to allow for the character to have credibility. The days of slavery can't be over, or surely, actors of this calibre would have been in revolt, at such a travesty of the story. The face of Marian Halcolme is described as being manly in appearance,... Tara Fitzgerald's very feminine appearance doesn't ring true. Again Laura Fairly is described as being 'fair', if not 'ethereal', so, with dark hair, she does not quite fit the impression gleaned from the novel. ....Badly done, Hollywood!<br /><br />J. Hunter"
22,23,0.07651077290380404,0.07748286801651616,0.86,987,"These are the kinds of movies I loved, and still love growing up. Unlike big budget movies that crate huge plot holes and never acknowledge them. This movie takes in all in stride and just makes something you can sit back and enjoy.<br /><br />There was some film student earlier that complained it wasn't A list material. But that is not the point. The point of this movie is that no everyone likes huge CGI Cliché' filled movies. There are a lot of people who like movies that are meant to just entertain you, and not get as much money as they can.<br /><br />Besides, its also nice to know that good ol' Bruce isn't dead yet."
23,24,0.06644290382462403,0.6103606740716891,0.98,936,"Awesome Movie! Great combination of talents! I'm a HUGE fan of David Duchovny and he is outstanding in this movie! I would love to see him in more movies of this nature. His talents are definitely under-used and has SO much more to offer besides ""Agent Mulder"" (although I'm a huge fan of that series too), Anyway, I want to see more of him. He is easily the Cary Grant of our generation. If you haven't seen this movie, you MUST! Great love story that shows love never dies... it's with you forever. Minnie Driver is great and how can you go wrong with a cast containing Mr. O'Connor and Mr. Loggia and Mr. Belushi? This movie didn't get any type of awards nod, but deserved one. Great job Bonnie Hunt! ** By the way... the soundtrack is great too! **"
24,25,0.62031136044807,0.35447269011165783,0.24,4078,I and a friend rented this movie. We both found the movie soundtrack and production techniques to be lagging. The movie's plot appeared to drag on throughout with little surprise in the ending. We both agreed that the movie could have been compressed into roughly an hour giving it more suspense and moving plot.
25,26,0.07651077290380404,0.4884072581613507,0.79,1000,"""The Dresser"" is perhaps the most refined of backstage films. The film is brimming with wit and spirit, for the most part provided by the ""energetic"" character of Norman (Tom Courtenay). Although his character is clearly gay, and certainly has an attraction for the lead performer (Albert Finney) that he assists, the film never dwells on it or makes it more than it is.<br /><br />The gritty style of Peter Yates that worked so well in ""Bullitt"" is again on display, and gives the film a sense of realism and coherence. This is much appreciated in a story that could so easily have become tedious. In the end, ""The Dresser"" will bore many people silly, but it will truly be a delight to those who love British cinema.<br /><br />7.7 out of 10"
